ProductCategoryID,ProductContentID,CategoryContentID
4842,3000,69
4849,3006,69
4850,3007,73
4851,3007,69
4852,3009,54
4853,3009,46
4862,3021,43
4871,3024,18
4873,3026,20
4876,3031,46
4877,3032,33
4878,3033,39
4881,3039,60
4882,3043,17
4885,3046,24
4886,3047,46
4887,3048,46
4888,3048,51
4890,3049,46
4893,3052,46
4899,3057,68
4900,3057,46
4902,3059,22
4919,3064,18
4920,3065,46
4921,3067,39
4922,3069,45
4927,3080,22
4928,3082,46
4929,3083,24
4946,3094,39
4953,3098,35
4954,3099,68
4955,3100,35
4956,3100,22
4957,3101,35
4958,3102,35
4965,3107,46
4967,3109,46
4974,3116,46
4975,3117,60
4977,3119,46
4978,3120,46
4979,3121,46
4980,3122,46
4981,3123,39
4982,3125,60
4983,3125,39
4988,3135,39
4990,3138,39
4991,3140,39
4992,3141,39
4993,3143,46
4994,3144,46
4995,3145,46
4996,3146,57
4997,3147,35
4998,3148,57
4999,3152,22
5000,3152,69
5002,3154,33
5004,3156,43
5006,3158,43
5009,3161,43
5015,3166,43
5018,3169,43
5020,3171,43
5025,3176,43
5027,3178,43
5029,3180,43
5030,3181,43
5031,3182,43
5032,3183,43
5035,3186,43
5036,3187,43
5037,3188,43
5039,3190,43
5040,3191,43
5041,3192,43
5042,3193,43
5043,3194,43
5047,3197,43
5049,3199,43
5050,3200,43
5054,3203,43
5055,3204,43
5056,3205,43
5058,3207,43
5060,3209,43
5065,3211,68
5067,3213,46
5068,3214,68
5070,3216,68
5071,3216,51
5073,3217,68
5079,3222,46
5080,3223,65
5081,3224,35
5082,3224,68
5088,3227,22
5089,3228,22
5091,3230,47
5094,3273,69
5095,3274,69
5096,3275,69
5097,3276,69
5098,3277,69
5099,3278,69
5100,3279,69
5101,3280,69
5102,3281,69
5103,3282,68
5104,3283,39
5107,3285,51
5109,3286,39
5110,3287,23
5111,3288,22
5112,3289,60
5116,3293,51
5119,3295,57
5122,3300,73
5123,3301,73
5124,3302,51
5126,3303,22
5127,3303,68
5128,3304,22
5129,3304,68
5130,3304,33
5134,3307,20
5135,3309,18
5136,3310,45
5155,3330,51
5158,3331,51
5162,3334,51
5169,3341,35
5186,3361,57
5189,3364,46
5190,3364,33
5191,3364,51
5194,3366,58
5196,3367,58
5197,3368,58
5198,3369,58
5199,3370,58
5200,3371,58
5201,3372,58
5202,3373,58
5203,3374,58
5204,3375,58
5205,3376,58
5210,3384,46
5211,3385,46
5212,3386,46
5213,3388,57
5215,3390,46
5216,3391,46
5217,3392,46
5219,3394,46
5220,3395,46
5228,3403,20
5229,3405,56
5230,3406,46
5231,3409,68
5233,3409,57
5236,3411,57
5237,3412,57
5254,3419,57
5275,3426,57
5283,3430,66
5284,3431,66
5295,3437,18
5296,3438,18
5297,3439,18
5299,3441,63
5301,3443,63
5303,3447,46
5304,3450,60
5305,3451,60
5306,3452,60
5307,3453,60
5309,3455,60
5310,3456,60
5314,3458,18
5315,3458,47
5316,3458,71
5317,3458,56
5324,3461,35
5326,3464,46
5327,3464,69
5328,3467,39
5329,3468,35
5330,3472,43
5331,3473,43
5336,3495,46
5349,3512,63
5350,3513,63
5351,3514,57
5358,3521,46
5361,3524,57
5362,3525,57
5364,3525,51
5366,3526,22
5367,3527,60
5369,3529,63
5370,3530,45
5372,3543,71
5374,3565,24
5376,3567,45
5377,3568,68
5378,3570,51
5380,3571,22
5382,3575,22
5383,3576,22
5387,3578,67
5390,3584,22
5391,3585,46
5393,3587,68
5394,3587,39
5395,3588,68
5397,3590,68
5402,3592,63
5403,3592,71
5404,3593,45
5405,3594,51
5408,3596,22
5413,3600,22
5414,3600,60
5415,3601,60
5416,3608,39
5420,3612,22
5423,3615,22
5424,3615,39
5426,3616,22
5427,3616,39
5429,3617,22
5430,3617,39
5432,3618,22
5433,3618,39
5435,3619,39
5437,3620,39
5444,3622,60
5445,3622,39
5447,3623,39
5449,3623,46
5450,3624,39
5452,3625,39
5453,3627,57
5455,3630,35
5456,3630,39
5471,3641,22
5472,3641,33
5478,3648,46
5483,3654,46
5486,3656,46
5487,3657,39
5488,3658,39
5489,3660,22
5490,3661,46
5491,3661,54
5492,3662,63
5493,3662,51
5495,3663,63
5496,3663,51
5498,3664,46
5499,3665,46
5500,3666,46
5501,3667,46
5502,3668,46
5503,3669,46
5504,3670,46
5505,3671,46
5506,3672,46
5507,3673,46
5508,3674,46
5509,3675,46
5619,2372,18
6685,1804,33
6686,1804,46
6695,2300,46
6698,2366,33
6699,2366,46
6700,2366,47
6702,2366,60
6744,3208,43
7223,3172,43
7336,1780,68
7409,2558,60
7410,2268,46
7499,1809,39
7751,1717,24
7764,2506,68
7766,2506,234
7773,2334,51
7775,2532,18
7777,2532,57
7779,2532,66
7943,1949,43
8030,2089,43
8034,3157,43
8061,3163,43
8063,3165,43
8076,3173,43
8090,3179,43
8110,3185,43
8115,3189,43
8120,3195,43
8121,3198,43
8147,2910,37
8148,2910,46
8538,2145,35
8539,2143,35
8687,3742,51
8968,2302,51
9066,2926,86
9128,1797,35
9129,1797,47
9572,2898,24
9579,1869,86
9618,2593,60
9629,1616,86
9631,1616,56
9653,1724,188
9654,1724,69
9663,2413,33
9665,2413,46
9666,2413,51
9703,2619,46
9704,2619,69
9851,2795,39
9874,2124,21
9876,2124,68
9938,2692,21
9940,2885,234
9963,2051,43
10356,2311,51
10360,2313,51
10426,2561,60
10427,2679,22
10429,2679,33
10430,2679,60
10440,2700,33
10466,2896,37
10555,2483,51
10738,1991,43
10748,2259,51
10752,2460,33
10809,1716,33
10811,1716,234
10834,2226,69
10867,3708,68
10869,3708,234
10948,1657,69
11119,3029,22
11125,3491,22
11127,3491,33
11128,3492,22
11130,3493,22
11132,3595,22
11134,3613,22
11136,3614,22
11138,3631,22
11189,1721,60
11210,2833,21
11354,2147,35
11355,2147,68
11400,1897,86
11402,1897,188
11476,2501,56
11477,2924,39
11479,2924,51
11696,3002,24
11697,3002,4992
11707,2312,51
11709,2312,4992
11710,3365,24
11711,3365,4992
11805,2565,33
11807,2565,60
12037,2450,68
12042,2481,39
12043,2481,69
12090,2597,24
12407,1893,46
12408,2266,69
12409,2985,39
12411,2985,44
12412,2985,71
12705,3707,68
12707,3707,234
12764,2911,86
12766,2911,35
12767,1874,86
12989,2349,22
13071,3393,46
13112,2393,35
13163,3104,46
13167,3397,46
