ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType
1,0,Home,1,/default.aspx,Avena Herbal Products,,,,default.aspx,4/5/2012,1,4/5/2012,8/16/2013,1,1,1,0,1,0,0,1934532,0,0,0
2,0,None,2,/about-us/,About Us,,,,about-us.aspx,4/5/2012,1,4/5/2012,3/11/2014,1,1,2,0,1,0,0,142106,0,0,0
3,0,None,3,/delivery-times/,Delivery Times,,,,content-item.aspx,4/5/2012,1,4/5/2012,10/22/2021,2,1,3,0,1,0,0,41679,0,0,0
4,0,None,4,/testimonials/,Testimonials,,,,testimonials.aspx,4/5/2012,1,4/5/2012,4/14/2014,1,1,4,0,1,0,0,23070,0,0,0
5,0,None,5,/safety/,Safety,,,,content-item.aspx,4/5/2012,1,4/5/2012,5/17/2015,2,1,5,0,1,0,0,22661,0,0,0
6,0,Contact,1,/contact-us/,Contact Us,,,,contact.aspx,4/5/2012,1,4/5/2012,1/6/2014,1,1,6,0,1,0,0,79736,0,0,0
7,0,None,7,/making-a-purchase/,Making a Purchase,,,,content-item.aspx,4/5/2012,1,4/5/2012,10/25/2012,2,1,8,0,1,0,0,19397,0,0,0
8,0,SiteMap,1,/site-map/,Site Map,,,,site-map.aspx,4/5/2012,1,4/5/2012,4/5/2012,1,1,8,0,1,0,0,12450,0,0,0
9,0,None,9,/terms-of-use/,Terms of Use,,,,content-item.aspx,4/5/2012,1,4/5/2012,5/30/2012,1,1,9,0,1,0,0,14953,0,0,0
10,0,None,10,/privacy-policy/,Privacy Policy,,,,content-item.aspx,4/5/2012,1,4/5/2012,5/26/2018,6,1,10,0,1,0,0,16742,0,0,0
11,0,None,11,/links/,Links,,,,content-item.aspx,4/5/2012,1,4/5/2012,5/29/2012,1,1,11,0,1,0,0,17338,0,0,0
14,0,ManufacturerItem,2,/avena/,Avena,,,,manufacturer-item.aspx,4/5/2012,1,4/5/2012,4/5/2012,1,0,1,0,1,0,0,0,0,0,0
15,0,Category,2,/abluo-brand/,Abluo Brand,"| Abluo Brand Creams, Oils and Ointments","Abluo, Face Cream, Massage Oil, Bath Oil","A selection of Abluo branded products including massage oils, bath oils, face creams and ointments.",category.aspx,4/5/2012,1,4/5/2012,10/29/2020,2,0,1,0,1,1,0,121536,0,0,0
16,0,Category,3,/natural-arthritis-products/,Natural Arthritis Products,| Natural Oils and Ointments for Arthritis and Rheumatism,"arthritis, natural, bath oil, massage oil","A range of bath oils, massage oils, ointments and gift sets dedicated to arthritis and rheumatism pain relief.",category.aspx,4/5/2012,1,4/5/2012,10/29/2020,2,0,1,0,1,1,0,41570,0,0,0
17,0,Category,4,/natural-animal-products/,Natural Animal Products,| A Selection of Natural Products Dedicated to Animals,"Pets, Animals, Natural, Dog, Cat, Horse, Pony, Cattle",A range of natural products dedicated to animals. For pets and livestock.,category.aspx,4/5/2012,1,4/5/2012,10/29/2020,2,0,1,0,1,1,0,42005,0,0,0
18,0,Category,5,/bath-pamper/,Bath & Pamper,| Gift Ideas For The Bathroom | Bath or Shower Products,"Bath Gifts, Bathroom, Bubble Bath, Shower",A wide selection of bath gifts for all the family. Luxury gift ideas for the bathroom.,category.aspx,4/5/2012,1,4/5/2012,12/31/2020,2,0,1,0,1,1,0,58577,0,0,0
20,0,Category,6,/natural-beauty-products/,Natural Beauty Products,"| Natural Beauty Creams, Lotions and Oils","Natural, Face Cream, Body Cream, Lotion, Beauty","A range of natural beauty products including creams for the face and body, oils, lotions, hair products and more.",category.aspx,4/5/2012,1,4/5/2012,11/4/2014,2,0,1,0,1,1,0,48392,0,0,0
21,0,Category,7,/buddha/,Buddha,,,,category.aspx,4/5/2012,1,4/5/2012,10/23/2020,2,0,1,0,1,1,0,27112,0,0,0
22,0,Category,8,/candles/,Candles,,,,category.aspx,4/5/2012,1,4/5/2012,11/1/2023,2,0,0,0,1,1,0,44296,0,0,0
23,0,Category,9,/carrier-oils-base-products/,Carrier Oils & Base Products,,,,category.aspx,4/5/2012,1,4/5/2012,10/28/2020,2,0,1,0,1,1,0,41980,0,0,0
24,0,Category,10,/spiritual-music/,Spiritual Music,,,,category.aspx,4/5/2012,1,4/5/2012,10/23/2020,2,0,1,0,1,1,0,27638,0,0,0
31,0,Ecommerce,1,/shopping-basket/,Shopping Basket,,,,shopping-basket.aspx,4/11/2012,1,4/11/2012,4/11/2012,1,1,1,0,1,0,0,559867,0,0,0
32,0,ProductSearchResults,1,/search-results/,Search Results,,,,search-results.aspx,4/11/2012,1,4/11/2012,4/11/2012,1,1,1,0,1,0,0,780900,0,0,0
33,0,Category,11,/christmas-gift-ideas/,Christmas Gift Ideas,| A Selection Of Our Best Christmas Gift Ideas,"Christmas, Gifts, Ideas",A wide range of our best and most popular Christmas gift ideas as well as some quirky and wonderful options for those hard to buy for people,category.aspx,4/12/2012,1,4/12/2012,12/27/2023,2,0,2,0,1,1,0,26998,0,0,0
35,0,Category,13,/dragons/,Dragons,,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,24203,0,0,0
36,0,Category,14,/dream-catchers/,Dream Catchers,,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,23151,0,0,0
