"entity_id","attribute_set_id","type_id","sku","has_options","required_options","created_at","updated_at"
"37016","4","simple","1150-2152","0","0","2024-04-30 19:48:06","2024-05-02 17:00:42"
"37017","4","configurable","1151","0","0","2024-04-30 19:48:08","2024-05-02 20:46:07"
"37018","4","configurable","1152","0","0","2024-04-30 19:48:09","2024-05-02 20:46:07"
"37019","4","simple","1153-2155","0","0","2024-04-30 19:48:10","2024-05-02 17:00:46"
"37020","4","simple","1153-6550","0","0","2024-04-30 19:48:11","2024-05-02 17:00:48"
"37021","4","configurable","1154","0","0","2024-04-30 19:48:13","2024-05-02 20:46:10"
"37022","4","configurable","1155","0","0","2024-04-30 19:48:14","2024-05-02 20:46:10"
"37023","4","simple","1160-2162","0","0","2024-04-30 19:48:15","2024-05-02 17:00:53"
"37024","4","simple","1160-10411","0","0","2024-04-30 19:48:17","2024-05-02 17:00:55"
"37025","4","simple","1160-5528","0","0","2024-04-30 19:48:18","2024-05-02 17:00:57"
"37026","4","simple","1160-20607","0","0","2024-04-30 19:48:20","2024-05-02 17:00:59"
"37027","4","configurable","1162","0","0","2024-04-30 19:48:22","2024-05-02 20:46:13"
"37028","4","configurable","1163","0","0","2024-04-30 19:48:23","2024-05-02 20:46:13"
"37029","4","configurable","1164","0","0","2024-04-30 19:48:24","2024-05-02 20:46:14"
"37030","4","configurable","1166","0","0","2024-04-30 19:48:25","2024-05-02 20:46:15"
"37031","4","configurable","1167","0","0","2024-04-30 19:48:27","2024-05-02 20:46:16"
"37032","4","configurable","1168","0","0","2024-04-30 19:48:28","2024-05-02 20:46:16"
"37033","4","configurable","1169","0","0","2024-04-30 19:48:29","2024-05-02 20:46:17"
"37034","4","configurable","1170","0","0","2024-04-30 19:48:30","2024-05-02 20:46:18"
"37035","4","configurable","1171","0","0","2024-04-30 19:48:32","2024-05-02 20:46:19"
"37036","4","simple","1172-2178","0","0","2024-04-30 19:48:33","2024-05-02 17:01:18"
"37037","4","simple","1172-2179","0","0","2024-04-30 19:48:34","2024-05-02 17:01:20"
"37038","4","simple","1172-2177","0","0","2024-04-30 19:48:36","2024-05-02 17:01:21"
"37039","4","simple","1174-2182","0","0","2024-04-30 19:48:37","2024-05-02 17:01:23"
"37040","4","simple","1174-2184","0","0","2024-04-30 19:48:39","2024-05-02 17:01:24"
"37041","4","simple","1174-2185","0","0","2024-04-30 19:48:40","2024-05-02 17:01:26"
"37042","4","simple","1174-2183","0","0","2024-04-30 19:48:42","2024-05-02 17:01:28"
"37043","4","simple","1174-2186","0","0","2024-04-30 19:48:43","2024-05-02 17:01:29"
"37044","4","simple","1175-2187","0","0","2024-04-30 19:48:45","2024-05-02 17:01:31"
"37045","4","simple","1175-2188","0","0","2024-04-30 19:48:46","2024-05-02 17:01:33"
"37046","4","simple","1175-2189","0","0","2024-04-30 19:48:48","2024-05-02 17:01:34"
"37047","4","configurable","1176","0","0","2024-04-30 19:48:49","2024-05-02 20:46:23"
"37048","4","simple","1177-2191","0","0","2024-04-30 19:48:50","2024-05-02 17:01:38"
"37049","4","simple","1177-2193","0","0","2024-04-30 19:48:52","2024-05-02 17:01:40"
"37050","4","simple","1177-2194","0","0","2024-04-30 19:48:53","2024-05-02 17:01:41"
"37051","4","simple","1177-2192","0","0","2024-04-30 19:48:55","2024-05-02 17:01:43"
"37052","4","simple","1177-2195","0","0","2024-04-30 19:48:57","2024-05-02 17:01:45"
"37053","4","configurable","1178","0","0","2024-04-30 19:48:58","2024-05-02 20:46:26"
"37054","4","simple","1180-2205","0","0","2024-04-30 19:49:00","2024-05-02 17:01:48"
"37055","4","simple","1180-2204","0","0","2024-04-30 19:49:01","2024-05-02 17:01:50"
"37056","4","simple","1180-7486","0","0","2024-04-30 19:49:03","2024-05-02 17:01:52"
