ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType,paraent_catagory_content_id
15,0,Category,2,/abluo-brand/,"Abluo Brand","| Abluo Brand Creams, Oils and Ointments","Abluo, Face Cream, Massage Oil, Bath Oil","A selection of Abluo branded products including massage oils, bath oils, face creams and ointments.",category.aspx,4/5/2012,1,4/5/2012,10/29/2020,2,0,1,0,1,1,0,121536,0,0,0,
16,0,Category,3,/natural-arthritis-products/,"Natural Arthritis Products","| Natural Oils and Ointments for Arthritis and Rheumatism","arthritis, natural, bath oil, massage oil","A range of bath oils, massage oils, ointments and gift sets dedicated to arthritis and rheumatism pain relief.",category.aspx,4/5/2012,1,4/5/2012,10/29/2020,2,0,1,0,1,1,0,41570,0,0,0,
17,0,Category,4,/natural-animal-products/,"Natural Animal Products","| A Selection of Natural Products Dedicated to Animals","Pets, Animals, Natural, Dog, Cat, Horse, Pony, Cattle","A range of natural products dedicated to animals. For pets and livestock.",category.aspx,4/5/2012,1,4/5/2012,10/29/2020,2,0,1,0,1,1,0,42005,0,0,0,
18,0,Category,5,/bath-pamper/,"Bath & Pamper","| Gift Ideas For The Bathroom | Bath or Shower Products","Bath Gifts, Bathroom, Bubble Bath, Shower","A wide selection of bath gifts for all the family. Luxury gift ideas for the bathroom.",category.aspx,4/5/2012,1,4/5/2012,12/31/2020,2,0,1,0,1,1,0,58577,0,0,0,
20,0,Category,6,/natural-beauty-products/,"Natural Beauty Products","| Natural Beauty Creams, Lotions and Oils","Natural, Face Cream, Body Cream, Lotion, Beauty","A range of natural beauty products including creams for the face and body, oils, lotions, hair products and more.",category.aspx,4/5/2012,1,4/5/2012,11/4/2014,2,0,1,0,1,1,0,48392,0,0,0,
21,0,Category,7,/buddha/,Buddha,,,,category.aspx,4/5/2012,1,4/5/2012,10/23/2020,2,0,1,0,1,1,0,27112,0,0,0,
22,0,Category,8,/candles/,Candles,,,,category.aspx,4/5/2012,1,4/5/2012,11/1/2023,2,0,0,0,1,1,0,44296,0,0,0,
23,0,Category,9,/carrier-oils-base-products/,"Carrier Oils & Base Products",,,,category.aspx,4/5/2012,1,4/5/2012,10/28/2020,2,0,1,0,1,1,0,41980,0,0,0,
24,0,Category,10,/spiritual-music/,"Spiritual Music",,,,category.aspx,4/5/2012,1,4/5/2012,10/23/2020,2,0,1,0,1,1,0,27638,0,0,0,
33,0,Category,11,/christmas-gift-ideas/,"Christmas Gift Ideas","| A Selection Of Our Best Christmas Gift Ideas","Christmas, Gifts, Ideas","A wide range of our best and most popular Christmas gift ideas as well as some quirky and wonderful options for those hard to buy for people",category.aspx,4/12/2012,1,4/12/2012,12/27/2023,2,0,2,0,1,1,0,26998,0,0,0,
35,0,Category,13,/dragons/,Dragons,,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,24203,0,0,0,
36,0,Category,14,/dream-catchers/,"Dream Catchers",,,,category.aspx,4/12/2012,1,4/12/2012,10/23/2020,2,0,1,0,1,1,0,23151,0,0,0,
37,0,Category,15,/essential-oils/,"Essential Oils",,"Essential Oils, Pure, Natural Products, Avena",,category.aspx,4/12/2012,1,4/12/2012,10/28/2020,2,0,1,0,1,1,0,75224,0,0,0,
